campaign_id,campaign_name,send_time,total_attributed_revenue,new_customers_revenue,recurring_customers_revenue
01JMFA87KG9GMCSA6Z9XT8JC9M,Unknown,2025-02-19T16:42:17.195606,0,0,0
01JAJR8CJZ93V5EQXRAQXHRBYQ,Unknown,2025-02-19T16:42:17.195606,0,0,0
01JAJQPJY6EPHP93VEDWP1CHPJ,Unknown,2025-02-19T16:42:17.195606,0,0,0
01JAJP4N25399THDDJCC34Y47B,Unknown,2025-02-19T16:42:17.195606,0,0,0
01JAJMSEM44WTR43CHW1FYC45F,Unknown,2025-02-19T16:42:17.195606,0,0,0
01JAJKY3Y90KX8XNX2TR13CVGK,Unknown,2025-02-19T16:42:17.195606,0,0,0
01JAEMQ3MQMXPXJHBA5ZEP557E,Unknown,2025-02-19T16:42:17.195606,0,0,0
01J95DW44SMV79SY40QE24C5QW,Unknown,2025-02-19T16:42:17.195606,0,0,0
01J95CXW6JZKG6WM1QTBTERZRJ,Unknown,2025-02-19T16:42:17.195606,0,0,0
01J95BZQ4GHCZKDW8ZGP5S9W8F,Unknown,2025-02-19T16:42:17.195606,0,0,0
01J9568EGQAVG4183GTT2EV4WH,Unknown,2025-02-19T16:42:17.195606,0,0,0
